timestamps,TP9,AF7,AF8,TP10,Right AUX
1700264826.710,-1000.000,-110.352,-549.316,-148.926,0.000
1700264826.714,-436.523,-95.215,-540.039,-581.543,0.000
1700264826.718,999.512,-13.184,-219.238,378.906,0.000
1700264826.722,897.949,-40.039,-213.379,999.512,0.000
1700264826.725,-499.512,-81.055,-363.281,238.281,0.000
1700264826.729,-785.156,-77.637,-413.574,-714.355,0.000
1700264826.733,659.180,-37.109,-330.566,55.664,0.000
1700264826.737,999.512,-6.348,-91.309,994.141,0.000
1700264826.741,-126.465,-38.574,-60.059,507.812,0.000
1700264826.745,-1000.000,-100.098,-412.109,-602.539,0.000
1700264826.749,173.340,-64.941,-425.781,-211.426,0.000
1700264826.753,999.512,-10.742,-112.305,862.793,0.000
1700264826.757,282.227,-56.152,-115.723,762.207,0.000
1700264826.761,-1000.000,-135.742,-508.789,-418.457,0.000
1700264826.765,-200.684,-129.883,-579.102,-449.707,0.000
1700264826.768,999.512,-62.012,-345.215,632.324,0.000
1700264826.772,679.688,-10.254,76.660,873.535,0.000
1700264826.776,-822.754,-95.703,-265.137,-120.605,0.000
1700264826.780,-491.699,-114.746,-519.531,-695.801,0.000
1700264826.784,970.703,-27.832,-191.406,197.266,0.000
1700264826.788,985.840,-1.953,103.027,874.512,0.000
1700264826.792,-323.242,-76.172,-200.195,176.758,0.000
1700264826.796,-843.262,-145.508,-610.840,-793.945,0.000
1700264826.800,548.340,-77.148,-354.492,-235.840,0.000
1700264826.804,999.512,-37.109,-184.570,712.402,0.000
1700264826.808,41.504,-98.145,-349.609,370.605,0.000
1700264826.811,-1000.000,-184.082,-678.711,-743.652,0.000
1700264826.815,55.664,-112.793,-524.414,-568.359,0.000
1700264826.819,999.512,-21.484,-241.211,450.195,0.000
1700264826.823,405.762,-55.664,-279.297,530.762,0.000
1700264826.827,-1000.000,-129.883,-637.207,-560.059,0.000
1700264826.831,-271.973,-93.262,-548.828,-819.336,0.000
1700264826.835,999.512,-17.090,-224.609,223.145,0.000
1700264826.839,825.684,-42.480,-284.180,749.512,0.000
1700264826.843,-635.742,-119.141,-533.691,-172.363,0.000
1700264826.847,-562.500,-117.188,-558.105,-900.391,0.000
1700264826.850,889.160,-54.199,-393.066,7.324,0.000
1700264826.854,999.512,-67.871,-409.180,874.512,0.000
1700264826.858,-121.582,-125.977,-614.258,270.996,0.000
1700264826.862,-909.180,-103.516,-563.965,-846.680,0.000
1700264826.866,443.359,-40.527,-368.164,-317.871,0.000
1700264826.870,999.512,-31.250,-262.207,742.676,0.000
1700264826.874,187.012,-85.449,-392.578,538.574,0.000
1700264826.878,-1000.000,-129.883,-595.215,-610.352,0.000
1700264826.882,-23.926,-76.172,-461.426,-509.766,0.000
1700264826.886,999.512,-12.695,-246.094,583.496,0.000
1700264826.890,565.918,-21.973,-110.840,759.766,0.000
1700264826.893,-939.453,-98.145,-451.660,-273.438,0.000
1700264826.897,-321.289,-95.703,-579.590,-615.723,0.000
1700264826.901,999.512,-62.988,-424.805,425.293,0.000
1700264826.905,894.043,-37.598,-224.609,948.730,0.000
1700264826.909,-505.859,-72.754,-252.930,44.434,0.000
1700264826.913,-633.789,-125.000,-549.316,-722.656,0.000
1700264826.917,811.523,-49.805,-327.637,81.543,0.000
1700264826.921,999.512,-2.930,-2.441,941.406,0.000
1700264826.925,-62.012,-56.152,-143.066,421.875,0.000
1700264826.929,-961.426,-138.184,-597.656,-625.000,0.000
1700264826.932,343.750,-94.238,-528.809,-191.895,0.000
1700264826.936,999.512,-6.836,-133.301,781.738,0.000
1700264826.940,264.160,-41.992,-116.699,634.277,0.000
1700264826.944,-1000.000,-169.922,-641.113,-438.477,0.000
1700264826.948,-100.098,-139.160,-649.414,-463.379,0.000
1700264826.952,999.512,-5.371,-216.309,529.785,0.000
1700264826.956,653.320,-7.812,-119.141,801.270,0.000
1700264826.960,-855.957,-104.980,-422.363,-227.539,0.000
1700264826.964,-435.547,-91.309,-490.234,-770.996,0.000
1700264826.967,999.512,-6.348,-251.953,152.832,0.000
1700264826.972,962.891,-12.695,-173.828,823.730,0.000
1700264826.975,-376.953,-95.703,-450.195,61.523,0.000
1700264826.979,-778.320,-119.629,-606.445,-871.582,0.000
1700264826.983,643.066,-33.691,-332.520,-201.660,0.000
1700264826.987,999.512,-5.371,-182.129,711.426,0.000
1700264826.991,-15.137,-86.914,-410.645,293.945,0.000
1700264826.995,-1000.000,-134.766,-688.965,-830.566,0.000
1700264826.999,140.625,-36.133,-423.340,-601.562,0.000
1700264827.003,999.512,-7.812,-330.566,419.922,0.000
1700264827.007,334.473,-69.336,-478.516,412.109,0.000
1700264827.011,-1000.000,-102.539,-597.656,-696.289,0.000
1700264827.014,-240.234,-48.828,-532.227,-871.094,0.000
1700264827.018,999.512,-12.695,-450.684,140.625,0.000
1700264827.022,684.570,-32.227,-496.582,526.367,0.000
1700264827.026,-811.523,-88.379,-589.844,-426.758,0.000
1700264827.030,-561.523,-102.051,-639.160,-1000.000,0.000
1700264827.034,915.039,-40.527,-522.949,-187.012,0.000
1700264827.038,965.332,-40.527,-501.953,557.617,0.000
